Date,Return,State,Return_Sq,RollMean_10,RollStd_10,Cluster,PC1,PC2
2001-01-17,0.007108489734039,3,5.053062629893785e-05,0.01992289554594998,0.03757361669541417,0,-0.3899959953242883,3.0844549343224057
2001-01-18,0.0472711785280987,3,0.0022345643194353797,0.014648518162764959,0.027408414145492447,0,0.24820121055563538,4.4776268816435865
2001-01-19,0.0944905990135505,3,0.00892847330193959,0.02305996953642957,0.03713334761136982,2,3.8150318904522984,9.844451999272094
2001-01-22,-0.0144479605828512,1,0.00020874356500362202,0.02020577023722041,0.03895148235705757,0,0.03817077646960424,2.3609733265196162
2001-01-23,0.0072501761240605,1,5.2565053829896936e-05,0.02131322564526015,0.03834506577285641,0,-0.4559282645691346,3.2756703409007972
2001-01-24,0.0384661738227494,1,0.0014796465285619714,0.01945109763645006,0.03683725414741515,0,0.11644995239567282,4.72135927293274
2001-01-25,-0.0180367879339967,1,0.000325325718975969,0.01561745646771861,0.03868749892831772,0,0.5258621353282796,1.7167078474130444
2001-01-26,0.0347779456744125,1,0.0012095055053323873,0.015154996731716603,0.03839814589496157,0,0.46294738440466066,4.033263232779726
2001-01-29,0.0077819339448583,1,6.055849592213786e-05,0.01869840883803329,0.03553731660862356,0,-0.42656263921748555,2.910555474024104
2001-01-30,-0.0175953912275621,1,0.00030959779245096926,0.01870663570973589,0.03552796818780506,0,0.03321672419273624,1.99278464871119
2001-01-31,-0.037171744312717,1,0.0013817385752500084,0.014278612305060289,0.0396539631802698,1,1.596350172838492,1.1872742490695403
2001-02-01,0.0212668656987087,1,0.00045227957664691277,0.01167818102212129,0.038071037393651246,0,0.42482437884578456,2.833429785767357
2001-02-02,-0.0253696343138091,1,0.0006436183452164,-0.00030784231061466887,0.026082415294404835,1,1.30673144909871,-0.6986702853723673
2001-02-05,0.0183301744352089,1,0.000335995294825186,0.0029699711911913415,0.026167459856867126,0,0.3159997770872777,1.3070335842614327
2001-02-06,0.0100408824682027,1,0.00010081932074026034,0.0032490418256055616,0.026232978451807266,0,0.24941525030643444,0.9359240696122889
2001-02-07,0.0334014337578812,1,0.001115655777082126,0.0027425678191187416,0.025516612497259502,0,0.5972775010909397,2.115675106772168
2001-02-08,-0.0384087208771462,1,0.0014752298394185267,0.0007053745248037917,0.028047624162965096,1,2.0315933501530585,-0.7588561729497884
2001-02-09,-0.0515048465398959,1,0.0026527492170982264,-0.007922904696627047,0.029628286121228448,1,3.7659149940715375,-1.8387068372677506
2001-02-12,-0.0063627351372932,1,4.048439842734551e-05,-0.009337371604842198,0.029128647701545614,1,1.6749446641306667,-1.1077700020783088
2001-02-13,-0.0096208756558355,1,9.256124838504816e-05,-0.008539920047669538,0.028986259673783675,1,1.6693133124745312,-1.1305497676916962
2001-02-14,0.0032172897619646,1,1.0350953412442232e-05,-0.004501016640201379,0.027319412030639752,1,1.0069589832665002,-0.23194959407943821
2001-02-15,0.0074668217493518,1,5.575342703659307e-05,-0.005881021035137069,0.026198714424534707,1,1.025058577452226,-0.2433910237827948
2001-02-16,-0.0258360566248928,1,0.0006675018219246671,-0.0059276632662454394,0.026237651868959582,1,1.815008893304353,-1.3579218765163101
2001-02-20,-0.025401465753698,1,0.0006452344624362923,-0.01030082728513613,0.02537555700183299,1,2.1084367934903145,-1.8827298170710973
2001-02-21,0.0066886997985092,1,4.473870499457701e-05,-0.01063604555210548,0.025097598823506817,1,1.3562577258570152,-0.863919996923035
2001-02-22,-0.0190696219390662,1,0.000363650480898915,-0.01588315112180022,0.01979200079283771,1,1.9497799164106575,-2.5443167567536817
2001-02-23,0.0279194455607518,1,0.0007794954404197834,-0.009250334478010418,0.02235281060001977,1,1.255747047097027,0.297232350976521
2001-02-26,0.0483703212514959,1,0.002339687977972916,0.0007371823011287609,0.02365028667540042,0,1.2258922459208708,2.825020082881922
2001-02-27,-0.0031531514848007,1,9.942364286100858e-06,0.0010581406663780109,0.023564852040153416,0,0.3556136010200983,0.049681571102934384
2001-02-28,-0.0063356526627737,1,4.014049466331148e-05,0.001386662965684191,0.023421898078131914,0,0.37516397148505587,-0.03195370648227515
2001-03-01,0.0060730982253997,1,3.688252205535298e-05,0.001672243812027701,0.023464071123078217,0,0.20244410892848874,0.4911342924961162
2001-03-02,-0.0460565145763047,1,0.0021212025349173673,-0.003680089820537949,0.02771491013415184,1,2.8773314762072904,-1.365279333581192
2001-03-05,0.013143760466465,1,0.0001727584391998082,0.0002178918885978317,0.026984066601305576,0,0.5655959661981619,0.7525476942878483
2001-03-06,0.0342277793329722,1,0.0011715408780666387,0.006180816397264852,0.02728046701316568,0,0.45050608074132004,2.6199425882189242
2001-03-07,0.0208125807110388,1,0.00043316351585350436,0.007593204488517811,0.027672483533666165,0,0.056881130875395265,2.0204051488583437
2001-03-08,-0.0239723734092776,1,0.0005746746868738398,0.007102929341496672,0.028235070395216885,0,0.7642093529295061,0.26017486073893703
2001-03-09,-0.0442117471011984,3,0.0019546785817403252,-0.00011018992469834788,0.031366207183021584,1,2.696582044932498,-0.8227266598911057
2001-03-12,-0.0875129926407668,3,0.007658523880942904,-0.013698521313924617,0.03696396599199863,2,8.32013298357069,-2.0409954595407336
2001-03-13,0.0424093612413586,3,0.001798553920900049,-0.00914227004130869,0.04099635273768061,1,2.9794933357419895,1.7838438581317009
2001-03-14,-0.0034661163406982,3,1.2013962487255081e-05,-0.008855316409101139,0.04102821066857411,1,2.3918849989331004,-0.5879048367709433
2001-03-15,-0.0058040416260424,3,3.36868991968329e-05,-0.010043030394245348,0.04071878177775673,1,2.5133382860105815,-0.8203878628866068
