states,loglike,aic,bic,Ticker
4,15897.17918942718,-31748.35837885436,-31593.36377764088,0
2,15689.158605886714,-31364.31721177343,-31317.14494183889,1
3,15716.912646088063,-31405.825292176127,-31311.48075230705,2
4,7778.620261058712,-15511.240522117423,-15367.320652035623,3
2,7698.879402678127,-15383.758805356254,-15339.95710576614,4
3,7698.439895968144,-15368.879791936288,-15281.27639275606,5
4,17400.02365475993,-34754.04730951986,-34599.05270830638,6
3,17235.509133653683,-34443.018267307365,-34348.67372743829,7
2,17202.899750527064,-34391.79950105413,-34344.627231119586,8
